,path,target
4098,BrainMRI/Training/pituitary/Tr-pi_0250.jpg,pituitary
871,BrainMRI/Training/glioma/Tr-gl_0730.jpg,glioma
3503,BrainMRI/Training/pituitary/Tr-pi_1377.jpg,pituitary
1765,BrainMRI/Training/meningioma/Tr-me_0574.jpg,meningioma
2334,BrainMRI/Training/meningioma/Tr-me_0538.jpg,meningioma
4788,BrainMRI/Training/notumor/Tr-no_1543.jpg,notumor
2985,BrainMRI/Training/pituitary/Tr-pi_0398.jpg,pituitary
1419,BrainMRI/Training/meningioma/Tr-me_0384.jpg,meningioma
87,BrainMRI/Training/glioma/Tr-gl_1283.jpg,glioma
4002,BrainMRI/Training/pituitary/Tr-pi_0122.jpg,pituitary
2608,BrainMRI/Training/meningioma/Tr-me_0695.jpg,meningioma
1843,BrainMRI/Training/meningioma/Tr-me_0630.jpg,meningioma
637,BrainMRI/Training/glioma/Tr-gl_1095.jpg,glioma
4703,BrainMRI/Training/notumor/Tr-no_1139.jpg,notumor
934,BrainMRI/Training/glioma/Tr-gl_0590.jpg,glioma
75,BrainMRI/Training/glioma/Tr-gl_0508.jpg,glioma
666,BrainMRI/Training/glioma/Tr-gl_1289.jpg,glioma
2327,BrainMRI/Training/meningioma/Tr-me_1287.jpg,meningioma
1871,BrainMRI/Training/meningioma/Tr-me_0406.jpg,meningioma
5394,BrainMRI/Training/notumor/Tr-no_0924.jpg,notumor
4970,BrainMRI/Training/notumor/Tr-no_1393.jpg,notumor
182,BrainMRI/Training/glioma/Tr-gl_0259.jpg,glioma
3769,BrainMRI/Training/pituitary/Tr-pi_0369.jpg,pituitary
5450,BrainMRI/Training/notumor/Tr-no_0398.jpg,notumor
3803,BrainMRI/Training/pituitary/Tr-pi_0748.jpg,pituitary
2362,BrainMRI/Training/meningioma/Tr-me_0971.jpg,meningioma
2477,BrainMRI/Training/meningioma/Tr-me_1078.jpg,meningioma
5387,BrainMRI/Training/notumor/Tr-no_0511.jpg,notumor
2968,BrainMRI/Training/pituitary/Tr-pi_0619.jpg,pituitary
2318,BrainMRI/Training/meningioma/Tr-me_0508.jpg,meningioma
4166,BrainMRI/Training/notumor/Tr-no_1210.jpg,notumor
5293,BrainMRI/Training/notumor/Tr-no_1480.jpg,notumor
5508,BrainMRI/Training/notumor/Tr-no_0277.jpg,notumor
4906,BrainMRI/Training/notumor/Tr-no_1074.jpg,notumor
3004,BrainMRI/Training/pituitary/Tr-pi_1253.jpg,pituitary
2054,BrainMRI/Training/meningioma/Tr-me_0165.jpg,meningioma
796,BrainMRI/Training/glioma/Tr-gl_0185.jpg,glioma
3947,BrainMRI/Training/pituitary/Tr-pi_0305.jpg,pituitary
4380,BrainMRI/Training/notumor/Tr-no_0677.jpg,notumor
387,BrainMRI/Training/glioma/Tr-gl_0783.jpg,glioma
1872,BrainMRI/Training/meningioma/Tr-me_0994.jpg,meningioma
866,BrainMRI/Training/glioma/Tr-gl_0283.jpg,glioma
1930,BrainMRI/Training/meningioma/Tr-me_1017.jpg,meningioma
1706,BrainMRI/Training/meningioma/Tr-me_0646.jpg,meningioma
3455,BrainMRI/Training/pituitary/Tr-pi_0397.jpg,pituitary
1113,BrainMRI/Training/glioma/Tr-gl_0784.jpg,glioma
34,BrainMRI/Training/glioma/Tr-gl_0991.jpg,glioma
4395,BrainMRI/Training/notumor/Tr-no_0579.jpg,notumor
2067,BrainMRI/Training/meningioma/Tr-me_0446.jpg,meningioma
4680,BrainMRI/Training/notumor/Tr-no_0399.jpg,notumor
1764,BrainMRI/Training/meningioma/Tr-me_1215.jpg,meningioma
5231,BrainMRI/Training/notumor/Tr-no_0682.jpg,notumor
